Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Hill Climbing,10,28,"[7, 4, 0, 9, 9, 6, 2, 3, 1, 8]",2,False,0.004603147506713867,4
Simulated Annealing,10,28,"[4, 8, 5, 2, 9, 1, 6, 8, 0, 7]",1,False,0.00878453254699707,688
Genético,10,28,"[3, 0, 4, 1, 8, 6, 2, 7, 5, 1]",1,False,3.980548143386841,100000
Hill Climbing,10,29,"[8, 3, 1, 7, 2, 0, 5, 9, 4, 6]",2,False,0.004568576812744141,4
Simulated Annealing,10,29,"[1, 7, 0, 3, 8, 0, 3, 6, 2, 5]",2,False,0.008520841598510742,688
Genético,10,29,"[2, 5, 1, 9, 0, 8, 4, 7, 3, 6]",0,True,0.9607448577880859,24500
Hill Climbing,10,30,"[2, 0, 6, 1, 5, 1, 9, 4, 8, 3]",1,False,0.00549626350402832,5
Simulated Annealing,10,30,"[9, 1, 4, 8, 3, 0, 2, 1, 5, 7]",2,False,0.008624553680419922,688
Genético,10,30,"[2, 0, 8, 1, 4, 9, 7, 0, 3, 6]",1,False,3.982438802719116,100000
Hill Climbing,12,1,"[8, 4, 1, 1, 10, 5, 11, 9, 3, 6, 2, 7]",1,False,0.010169029235839844,4
